SSC,IEMG,MYOP,SKW,RMS,MAV,WL,ZC,ACT,COMP,MOB,FR,MNP,TOT,MNF,PKF,SSC,IEMG,MYOP,SKW,RMS,MAV,WL,ZC,ACT,COMP,MOB,FR,MNP,TOT,MNF,PKF
61.0,140417.4038359103,0.2734375,-0.25612117924557226,1269.6691797658686,1097.0109674680493,128431.28104947638,39.0,1611692.883772528,1.379085721961577,1.0333982928900731,4.191547332511112,12597.08234485114,806213.270070473,122.7031957697026,125.0,68.0,87169.2904769723,0.1328125,0.9472027826020895,887.7003302873261,681.0100818513461,95218.03211815243,45.0,787937.789277221,1.2936869075231507,1.1218219437657655,3.508425246884522,6156.882742839141,394040.49554170505,134.96837227985364,226.5625
56.0,135639.67459108206,0.3671875,0.2214034963218323,1224.226353177594,1059.6849577428286,126098.73756811692,40.0,1486772.471786796,1.363035481503701,1.034451415259443,4.7452476958238305,11802.149704293774,755337.5810748015,120.32593264911796,195.3125,72.0,74104.85285585104,0.0390625,1.2318066534673946,747.3991539758741,578.9441629363363,92817.4434049799,54.0,558548.0940492009,1.238075081941402,1.2798633837690179,1.529521518702376,4364.4936892656715,279327.596113003,136.49203423192216,156.25
63.0,126660.87392228225,0.2578125,0.5688132889340505,1151.2698852172348,989.5380775178301,105703.03222506808,38.0,1325410.0807483748,1.4505992096947835,0.9644358167455918,4.158076350041506,10354.93893890552,662716.0920899533,106.32480725741327,23.4375,77.0,67739.04703942004,0.0390625,1.2785687460952389,696.2309853769336,529.211304995469,82462.74348283758,46.0,484710.80068357824,1.3346871888695775,1.2245446294413203,1.530246789278131,3787.1969609628068,242380.60550161963,103.36608964734067,39.0625
66.0,105756.45938838768,0.21875,0.6368897487198907,991.6194640103266,826.2223389717788,85172.4575512199,34.0,979812.7953235422,1.5625414501185246,0.9210598904993591,4.856153748465705,7709.20792805917,493389.30739578686,94.84995146856707,31.25,80.0,51030.55983546418,0.03125,1.7991613718949444,557.040017544628,398.6762487145639,58638.557436934025,47.0,310121.5120952085,1.4353564789294688,1.115775120657406,1.8139373423094396,2424.9251830578432,155195.21171570197,99.1501727351461,39.0625
66.0,95445.69651787734,0.25,0.49038004699611726,934.1169998644382,745.6695040459167,92022.36035513978,41.0,871583.0089236912,1.433396495792139,1.0135263622339892,4.057229283880584,6824.734147173358,436782.9854190949,110.30181387906549,39.0625,78.0,46828.42902713812,0.0703125,0.7684887682014861,468.3346099901203,365.84710177451655,59150.2541770077,58.0,219293.4722631534,1.2726876314469096,1.2806007614494488,1.4703962431209006,1713.69560348478,109676.51862302591,122.17322007491973,46.875
64.0,97625.68388814421,0.265625,0.45605710697690055,945.1918542744229,762.7006553761266,103280.06552093153,51.0,892108.5514115696,1.343721932393292,1.0875557829216194,4.127662899362772,6989.436046721885,447323.90699020063,132.00586207246445,171.875,74.0,54991.27355777072,0.15625,0.7256092959473721,550.5190720471899,429.61932467008376,61119.856466729114,50.0,302852.2285959563,1.3017241055785769,1.149132911971155,3.0269111849541646,2369.4538159292506,151645.04421947204,132.14104447308773,187.5
69.0,89792.01081864446,0.1875,0.35621239379020286,871.5160674190558,701.5000845206598,93770.97518218654,47.0,757641.5380872021,1.3628835132744883,1.0987040479254087,4.004606766780317,5947.976788042561,380670.5144347239,125.5598070014449,210.9375,69.0,54246.9193088499,0.1015625,0.9262165494719855,552.7720752004304,423.80405710038985,58004.14126563146,45.0,305551.5391898485,1.303648497443151,1.1230391792417547,3.559246402847042,2386.874720569484,152759.98211644698,139.08854910964007,117.1875
68.0,77233.72995839751,0.1171875,0.6198941547398135,771.1461406695419,603.3885152999806,80391.22282578118,45.0,592597.4406371682,1.3997736941373715,1.1009100936317373,2.626599399808945,4661.701113510939,298348.8712647001,108.27123362946783,46.875,63.0,51673.54238896647,0.0546875,0.8734416295842528,515.1685433210955,403.6995499138005,55713.801748935766,39.0,265350.2245382499,1.2998665235223397,1.1268477823078011,4.129617863810234,2073.780744745504,132721.96766371225,137.97159583671166,148.4375
56.0,78940.29605965115,0.1328125,0.649203907971134,788.031182811391,616.7210629660246,80657.90412777351,45.0,620697.9177445868,1.3862324989618668,1.0557362078331243,4.012147542986206,4853.531255082766,310626.000325297,120.02803797182928,148.4375,67.0,55057.93757241477,0.109375,0.7760238071919706,536.0825222269013,430.1401372844904,58501.832678269515,44.0,287368.5071464652,1.3229279593283452,1.0889083688309757,4.6525529317253875,2245.266912952913,143697.08242898644,133.04346567440456,140.625
62.0,75743.84067849803,0.109375,0.5714933999151772,752.4639485014253,591.7487553007659,74570.50242224765,42.0,565878.0487013476,1.3909937216892823,1.0196813485135325,4.80048640093686,4425.307904792375,283219.705906712,122.2160684398295,148.4375,75.0,53786.37447421261,0.1171875,0.7989037289646673,530.4647480560609,420.206050579786,64719.19101593628,55.0,281388.87508636725,1.3065737213074307,1.1882798468635922,2.154731803321136,2198.4060198093316,140697.98526779722,126.79849841734622,140.625
